mass,width,length_cm,wavelength,bounciness,recoil,condensation,distance,target,location_Belgium,location_China,location_France,location_Germany,location_India,location_Italy,location_Japan,location_Russia,location_South Korea,location_United Kingdom,location_United States,surface_bumpy,surface_flat,surface_matte,surface_shiny,surface_spiky
523,157,142,424,25.64,60.65,43.91,62.75,widget6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
451,94,146,688,21.13,33.46,49.91,42.21,widget1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
567,129,130,601,53.92,64.09,57.96,56.59,widget1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
197,121,161,681,16.09,83.76,56.81,32.66,widget7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
324,109,89,291,48.04,49.08,68.39,30.29,widget5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
433,102,103,493,67.23,26.41,57.58,14.72,widget4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170,186,99,646,51.41,19.74,70.3,23.06,widget5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
535,202,84,764,82.51,45.78,49.22,43.44,widget2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
313,121,155,492,21.85,47.99,50.22,37.29,widget7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
451,113,138,448,56.96,32.65,51.59,43.57,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
605,73,108,553,55.22,53.63,51.96,23.55,widget4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
363,208,109,588,76.88,44.3,59.82,36.33,widget2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
534,129,78,620,42.92,52.45,40.62,37.14,widget3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
294,113,147,399,13.81,42.32,50.17,55.92,widget1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
684,73,106,830,68.38,47.69,61.14,34.67,widget4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
344,117,158,568,54.28,42.47,55.45,52,widget1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
588,155,96,420,79.32,27.97,34.45,39.01,widget3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
403,134,98,611,68.19,52.61,47.39,40.23,widget3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
349,87,157,676,34.87,70.77,43.16,44.16,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
336,135,135,706,54.5,35.87,47.15,26.47,widget4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
487,225,113,545,72.32,33.3,71.03,44.29,widget2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
400,123,74,637,55.7,43.96,25.16,43.33,widget3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
505,155,106,659,56.21,69.99,44.2,42.25,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
424,128,133,599,64.91,39.53,39.49,27.43,widget4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
570,135,124,543,39.9,35.24,31.92,46.42,widget1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
78,104,100,352,41.84,31.97,44.03,18.1,widget5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
421,84,124,810,57.3,41.18,84.93,26.47,widget4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
639,130,115,578,84.76,44.47,60.28,35.66,widget4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
496,92,117,812,64.41,50.47,71.28,29.33,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
601,138,141,650,66.45,57.83,76.63,19.49,widget4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
689,90,101,403,64.82,37.31,68.67,23.77,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
475,163,92,363,57.91,42.13,10,54.8,widget3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
695,150,105,468,45.61,48.14,27.78,42.94,widget3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
586,177,79,560,32.2,34.06,65.02,30.78,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
502,168,126,595,58.92,34.75,77.52,46.68,widget2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
496,85,154,598,37.48,74.47,54.44,53.71,widget7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
419,139,78,545,68.8,51.9,21.11,44.34,widget3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
512,137,168,668,44.64,57.63,26.39,47,widget7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
440,185,64,614,54.26,53.42,69.78,32.13,widget5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
289,154,117,636,48.51,56.42,50.52,53.39,widget6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
263,112,164,423,33.85,78.49,48.33,42.63,widget7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
288,144,65,461,57.23,38.77,59.09,34.1,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
524,103,133,590,52.29,63.38,50.64,30.84,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
598,127,140,656,47.53,90.15,34.66,56.02,widget6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
267,141,140,496,58.12,84.99,46.05,41.95,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,177,96,544,33.76,39.21,71.01,15.66,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
461,74,143,628,36.6,64.82,22.34,45.59,widget7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
360,116,91,596,47.79,11.91,66.81,17.41,widget5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
360,146,79,402,68.97,52.21,31.12,37.59,widget3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
459,97,162,484,52.54,61.06,57.78,48.3,widget6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
551,144,83,704,52.74,68.32,4.41,46.59,widget3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
435,177,82,656,76.74,54.56,45.78,45.09,widget3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
391,159,112,414,41.17,50.83,45.06,38.1,widget2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
502,145,92,533,50.43,39.81,66.36,24.91,widget5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
593,218,112,488,55.91,48.59,82.13,27.24,widget2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
269,105,156,545,49.19,79.86,26.75,43.63,widget7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
447,102,126,792,72.79,67.86,77.99,21.83,widget4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
275,125,177,625,36.98,77.45,30.48,40.96,widget7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
475,114,77,407,61.26,20.24,59.47,14.72,widget5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
385,91,152,576,21.98,38.64,27.71,44.87,widget1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
600,98,125,635,67.96,39.18,73.67,15.93,widget4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
248,138,89,527,61.04,15.87,58.16,27.7,widget5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
375,122,109,659,58.5,19.61,69.11,24.47,widget5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
615,109,138,478,66.15,40.03,68.12,14.22,widget4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
630,165,109,469,46.73,35.05,58.51,36.84,widget2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
465,181,107,513,61.26,35.09,52.07,38.79,widget2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
529,138,131,388,52.54,49.41,50.63,38.37,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
387,129,91,551,57.64,52.45,40.19,43,widget3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
358,189,130,446,60.23,28.4,55.09,31.76,widget2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
626,165,87,551,57.21,24.06,59.74,11.27,widget5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
519,139,115,385,33.38,80.66,46.36,38.96,widget7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
209,149,99,424,55.77,37.26,72.77,27.03,widget5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
409,116,162,495,36.34,80.02,57.14,51.24,widget6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
567,76,122.567045,480,58.07,61.07,54.78,28.62,widget4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
539,184,111,683,53.97,35.76,68.95,28.23,widget2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
306,111,145,675,58.73,46.03,29.24,43.22,widget1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
426,78,137,448,55.94,66.59,59.61,29.7,widget4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
379,102,128,543,29.6,36.51,63.41,49.41,widget1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
357,119,191,383,25.87,59.27,56.28,53.5,widget7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
419,179,92,445,21.76,21.02,52.21,18.79,widget5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
224,122,135,605,44.92,68.45,42.63,49.27,widget6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201,141,137,433,10.2,48.03,14.25,49.38,widget7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
520,134,122.567045,558,42.5,52.78,27.65,48.47,widget7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
451,90,112,688,47.39,39.18,87.32,27.39,widget4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
413,209,112,457,52.27,57.61,55.44,43.68,widget2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210,131,135,722,27.15,58.29,26.77,57.23,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
590,182,118,445,61.72,59.27,71.33,41.23,widget2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
374,111,151,573,59.13,54.46,61.96,60.61,widget6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
153,152,161,632,27.69,73.41,25.54,46.62,widget7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
318,160,70,566,55.25,14,38.98,22.24,widget5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
253,153,71,651,44.97,43.76,29.13,42.28,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
373,178,137,614,57.05,31.81,72.78,29.92,widget2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
431,140,154,513,51.1,77.08,67.66,52.05,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
332,125,124,536,34.37,50.02,36.53,42.67,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
536,197,118,442,58.66,32.84,40.66,37.95,widget2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
617,193,102,506,64.55,32.5,81.43,42.21,widget2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
524,122,123,743,54.83,40.71,68.48,37.45,widget4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
513,133,79,504,46.22,39.66,22.99,41.73,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
409,164,115,444,45.66,43.21,80.85,16.71,widget5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
536,132,122.567045,630,42.97,81.36,39.09,53.92,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
338,127,92,635,69.32,27.02,56.1,16.69,widget5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
379,137,126,487,34.13,82.63,46.11,52.04,widget6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
639,206,136,497,93.74,26.78,51.95,48.06,widget2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
582,85,115,651,60.8,30.8,71.39,19.29,widget4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
286,92,162,551,40.57,80.83,37.64,43.14,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
252,84,130,606,41.87,64.21,52.37,37.67,widget7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
564,194,101,620,63.99,34.44,46.46,34.46,widget2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
648,169,85,771,54.71,35.4,27.86,31.39,widget3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
418,107,166,574,23.45,57.08,27.27,51.39,widget7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
587,121,118,626,28.98,71.52,47.36,52.59,widget6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
374,94,156,478,19.53,50.76,40.4,40.81,widget7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
379,177,83,598,67.02,42,40.82,32.3,widget3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
424,135,102,633,57.82,45.97,34.04,18.62,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
566,137,130,563,51.58,28.65,20.84,34.42,widget1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
467,133,158,653,59.95,63.17,37.86,57.97,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
487,101,118,471,43.05,72.51,43.28,44.64,widget6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
438,151,164,585,52.23,61.8,35.88,49.12,widget7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
602,120,129,494,25.46,37.08,25.57,51.03,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
400,156,169,540,37.48,51.12,31.01,47.7,widget7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
663,66,140,763,39,27.7,19.07,51.01,widget1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
538,176,130,545,66.15,40.03,70.56,22.22,widget2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
341,181,111,494,73.05,57.08,55.88,41.92,widget2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
603,177,85,685,44.65,29.34,50.43,47.02,widget3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
513,128,127,809,52.19,40.54,64.98,25.55,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
146,141,107,431,73.27,26.28,73.57,32.25,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
512,145,125,548,69.94,67.54,71.14,36.15,widget4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
510,197,107,387,73.38,31.06,82.49,31.68,widget2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
269,142,67,502,37.8,8.13,76.99,24.19,widget5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
432,155,150,705,36.73,55.04,44.29,55.17,widget1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
321,135,95,508,57.78,37.18,29.22,55.52,widget3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
703,76,127,568,31.72,56.01,37.6,40.56,widget1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
614,117,75,599,95.68,54.05,47.08,29.84,widget3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
320,145,175,606,48.53,76.45,26.92,40.64,widget7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
326,136,98,438,50.82,29.29,66.06,20.27,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
439,225,113,699,53.54,35.34,76.02,43.37,widget2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
635,109,157,415,40.63,45.57,46.54,40.75,widget1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
556,142,122.567045,429,58.66,61.13,48.72,47.92,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
567,119,119,696,61.98,54.09,65.37,17.22,widget4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
507,153,145,474,63.92,43.27,67.79,37.46,widget2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
608,209,130,480,64.28,41.23,54.04,42.03,widget2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
188,126,105,333,44.51,41.37,72.81,39.81,widget5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
444,121,154,434,44.38,59.72,30.76,56.17,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
347,133,109,512,49.88,21.6,64.38,31.57,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
512,125,138,552,66.28,61.48,51.88,23.36,widget4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
415,79,137,632,84.98,62.85,69.19,17.19,widget4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
425,165,150,611,37.86,55.09,46.91,67.54,widget6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
569,129,74,603,50.62,70.63,38.87,46.14,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
458,134,160,690,58.91,45.97,25.46,48.03,widget7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
417,90,135,549,53.32,44.32,37.13,42.43,widget6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
329,147,145,521,25.79,74.29,65.67,48.65,widget6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
336,154,159,702,46.57,57.67,18.43,43.32,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
171,139,151,634,40.61,67.96,52.11,50.68,widget7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
516,91,135,662,72.57,68.13,43.36,31.93,widget4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
524,163,110,729,76.98,36.85,65.87,48.61,widget2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
548,100,144,736,38.84,61.13,36.8,44.82,widget1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
268,143,76,530,54.8,31.51,55.85,29.52,widget5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
374,175,129,590,56.08,44.52,66.23,65.78,widget6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
456,170,106,483,35.38,29.81,57.96,40.84,widget2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
365,144,135,618,35.75,58.45,40.1,65.25,widget6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
519,130,78,627,56.42,51.29,0,37.98,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
733,131,125,568,65.66,41.99,69.55,26.2,widget4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
542,129,152,374,32.1,39.61,52.48,50.47,widget1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
232,138,141,499,26.28,76.92,27.37,42.17,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
507,182,132,504,69.48,39.37,57.27,39.48,widget2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
572,146,97,442,75.43,59.17,42.24,53.72,widget3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
473,121,141,352,35.28,32.23,30.82,46.78,widget1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
436,132,125,580,60.45,80.71,55.15,45.83,widget6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
462,161,98,401,75.92,57.23,32.25,45.02,widget3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
619,111,145,699,68.99,39.81,71.96,25.02,widget4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
556,123,119,568,71.27,42.59,73.86,21.33,widget4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
508,180,111,650,46.15,36.28,48.84,25.74,widget2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
475,128,126,490,60.86,62.64,63.75,23.92,widget4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
480,132,122.567045,510,42.81,71.43,51.91,51.62,widget7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
507,125,136,686,39.91,57.41,52.87,52.16,widget1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
413,112,119,517,52.24,56.91,47.68,63.77,widget6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
471,188,116,467,48.26,37.26,63.98,42.16,widget2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
401,161,62,476,69.5,7.06,47.74,26.59,widget5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
350,110,157,640,18.16,48.83,21.05,43.27,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
434,130,148,636,45.26,41.68,33.6,44.25,widget1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
677,96,128,774,79.42,50.7,44.48,16.15,widget4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
367,128,81,383,62,31.54,73.91,35.07,widget5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
540,114,119,670,66.28,55.65,73.51,18.26,widget4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
375,82,129,669,21.19,31.74,29.69,55.31,widget1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
590,146,86,545,69.73,63.83,38.82,32.45,widget3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
541,175,95,468,78.95,38.65,74.97,40.63,widget2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
316,105,121,601,71.82,47.3,50.3,49.03,widget6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
332,122,99,521,53.86,41.6,78.85,25.9,widget5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
563,93,115,657,63.43,41.67,88.24,29.98,widget4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
221,133,118,467,36.44,46.66,59.7,23.07,widget5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
434,169,92,513,51.24,57.74,36.38,46.85,widget3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
351,152,118,529,60.28,60.77,23.82,45.56,widget3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
352,151,152,726,47.23,68.75,44.14,44.91,widget6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
612,170,81,477,48.21,66.35,43.18,55.5,widget3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
502,107,127,638,45.86,67.67,54.66,55.62,widget6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
535,111,117,535,35.59,43.54,46.19,26.32,widget1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
401,144,73,614,61.06,35.11,34.53,38.56,widget3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
456,123,80,697,78.16,52.61,24.39,47.69,widget3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
382,157,102,581,41.09,71.66,8.2,58.22,widget3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
377,130,147,684,56.66,53,29.07,50.38,widget1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
511,168,128,445,53.81,37.31,55.6,47.88,widget2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
484,121,117,802,67.36,62.34,61.26,21.54,widget4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
410,96,117,507,72.86,57.68,61.26,36.58,widget4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
654,99,143,714,50.94,68.57,39.26,57.51,widget1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
396,135,163,329,50.33,55.79,18.52,34.93,widget7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
610,201,134,406,65.97,35.03,85.13,31.86,widget2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
516,91,137,464,46.46,53.09,38.9,31.56,widget7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
325,170,136,457,41.56,67.44,46.26,59.45,widget6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
651,139,122,615,46.79,64.61,36.39,30.71,widget1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
345,182,137,599,25.89,66.58,62.47,57.93,widget6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
378,202,126,467,67.34,41.64,55.56,42.39,widget2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
331,185,77,583,45.16,36.97,28.36,54.32,widget3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
596,136,93,519,61.95,51.09,46.63,41.23,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
315,142,103,393,36.1,40.73,72.55,28.38,widget5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
481,116,158,377,47.06,51.88,28.1,40.36,widget7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
554,112,113,512,52.66,45.43,70.76,20.25,widget4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
388,183,116,489,68.08,40.52,77.9,44.04,widget2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
382,146,155,320,10,49.57,64.49,49.76,widget6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
666,189,119,788,48.96,52.76,68.13,41.19,widget2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
397,129,130,605,43.99,66.36,33.26,56.99,widget1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
699,96,130,593,75.5,40.67,42.67,20.2,widget4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
460,158,112,458,71.28,28.27,53.68,39.66,widget2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
565,150,89,389,74.81,48.67,47.04,39.19,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
343,145,118,463,42.75,22.24,65.48,31.91,widget5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
455,146,148,527,39.46,38.48,51.23,52.05,widget1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
368,182,114,592,76.29,30.8,75.99,28.36,widget2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
471,131,131,441,62.23,49.68,63.29,25.11,widget4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
679,176,122.567045,505,65.9,63.94,25.33,40.36,widget3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
486,96,142,383,42.94,73.28,54.66,37.69,widget7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
360,128,118,573,50.6,52.25,69.13,50.35,widget6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
637,165,99,523,74.79,44.18,28.36,47.86,widget3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
405,100,126,627,48.64,70.31,64.23,34.82,widget4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
